resume_id,job_id
0,57
4,2
4,30
5,56
5,59
6,5
8,25
8,39
9,79
11,5
12,15
12,21
13,37
13,40
15,3
15,21
16,27
17,41
18,78
19,40
19,65
20,26
20,41
21,2
21,63
22,50
23,32
23,82
24,71
28,6
28,84
32,54
32,58
34,33
34,81
35,3
35,37
39,31
39,63
40,78
43,70
44,7
44,11
45,10
46,17
46,40
50,10
51,85
51,89
52,13
52,16
53,33
53,81
54,35
54,44
55,19
55,22
56,6
58,6
59,49
59,51
60,67
60,75
62,40
63,56
63,58
64,5
65,59
66,77
66,88
67,48
67,52
68,1
68,77
69,49
70,69
70,80
72,4
72,41
73,52
77,29
77,55
78,54
78,66
80,72
80,77
82,18
82,61
83,53
83,73
85,28
85,62
87,17
89,88
90,6
91,37
92,31
93,32
94,34
96,29
96,71
97,58
99,26
99,86
100,71
102,18
102,21
108,1
108,29
111,48
111,51
118,20
118,23
120,35
120,67
122,46
122,62
124,3
124,68
125,80
125,81
126,66
126,82
127,30
127,69
133,72
134,36
134,43
135,70
136,15
136,63
137,44
137,88
138,68
138,82
139,50
140,28
140,86
141,12
142,27
142,88
146,85
146,89
147,23
148,12
148,49
154,24
157,19
157,33
158,78
158,80
159,8
160,45
161,66
161,83
162,60
162,86
163,17
163,87
165,11
168,5
168,15
169,9
169,59
170,50
170,57
171,30
171,47
173,9
174,0
176,28
177,76
181,55
182,14
182,17
185,47
188,70
190,3
192,19
194,44
194,67
195,8
197,25
197,37
198,27
198,36
200,12
200,22
202,19
205,20
205,75
206,79
206,82
207,16
209,15
209,49
211,62
211,74
213,36
213,75
216,69
216,83
218,34
218,72
220,5
221,81
222,40
223,85
223,89
227,68
231,0
231,64
233,2
233,64
234,16
234,73
235,3
235,80
236,71
236,84
237,51
237,65
239,12
239,72
240,28
240,41
245,39
245,43
246,51
246,52
247,38
247,60
249,38
249,44
250,30
250,32
252,48
252,50
253,35
253,42
254,25
254,89
256,22
256,60
258,60
258,61
259,24
259,84
260,42
260,43
264,1
264,33
266,87
268,20
268,76
269,62
269,65
277,78
277,79
278,17
278,21
279,56
281,68
281,78
285,21
285,23
287,81
287,82
288,37
291,54
291,56
293,6
293,76
295,14
296,72
299,0
299,64
301,8
302,53
303,87
304,0
304,23
307,14
307,54
309,4
310,42
310,45
311,54
311,57
312,38
312,86
313,55
317,49
318,12
318,13
319,8
321,34
321,74
325,77
326,31
327,9
328,55
328,58
329,29
329,87
330,51
330,52
331,32
331,64
332,27
332,32
335,9
338,26
338,39
346,59
348,29
348,46
350,19
350,23
351,38
351,65
355,13
356,16
356,86
358,10
359,47
360,43
360,47
362,7
362,84
363,46
363,53
365,13
367,55
367,57
370,39
374,69
374,83
376,56
380,14
380,38
382,13
383,2
383,41
384,8
384,11
385,87
387,58
388,35
388,47
389,15
389,16
390,7
390,76
392,44
393,57
393,59
400,7
400,10
401,18
404,4
404,74
405,31
405,73
407,9
408,18
408,22
409,83
409,88
412,2
412,63
413,68
413,83
414,11
414,77
416,27
416,74
419,79
419,80
420,26
420,67
423,66
423,70
424,53
425,7
426,1
426,46
428,4
428,53
430,69
430,70
432,45
432,61
433,20
433,50
436,48
438,25
439,73
440,33
441,24
442,20
442,52
445,85
445,89
449,61
449,62
452,22
452,75
453,31
453,85
454,10
454,24
455,28
455,36
457,14
457,60
462,39
462,45
463,1
463,11
465,71
467,46
467,65
468,30
468,42
472,18
472,74
474,34
475,73
476,24
478,63
478,64
482,66
482,79
488,42
488,45
489,48
489,75
490,4
490,26
493,34
493,35
494,0
496,76
497,25
497,43
498,36
498,84
499,61
499,67
