job_id,job_title,job_description,job_text_clean,title_bucket,skill_set,num_skills,required_skills
1,Wordpress Developer,"Location GurugramPositionWordPress DeveloperJob Summary and Key ObjectivesDesigning and building the website front-end.Creating the website architecture.Designing and managing the website back-end including database and server integration.Generating WordPress themes and plugins.Conducting website performance tests.Troubleshooting content issues.Conducting WordPress training with the client.Monitoring the performance of the live websiteRequirementsBachelor’s degree in Computer Science or a similar field.Proven work experience as a WordPress Developer.Knowledge of front-end technologies including CSS, JavaScript, HTML5, and jQuery.Knowledge of code versioning tools including Git, Mercurial, and SVN.Experience working with debugging tools such as Chrome Inspector and Firebug.Good understanding of website architecture and aesthetics.Good communication skills.Required Experience: : 2-3 years",wordpress developer location gurugrampositionwordpress developerjob summary and key objectivesdesigning and building the website front end.creating the website architecture.designing and managing the website back end including database and server integration.generating wordpress themes and plugins.conducting website performance tests.troubleshooting content issues.conducting wordpress training with the client.monitoring the performance of the live websiterequirementsbachelor s degree in computer science or a similar field.proven work experience as a wordpress developer.knowledge of front end technologies including css javascript html5 and jquery.knowledge of code versioning tools including git mercurial and svn.experience working with debugging tools such as chrome inspector and firebug.good understanding of website architecture and aesthetics.good communication skills.required experience 2 3 years,wordpress,"['communication', 'css', 'git', 'javascript']",4,"['communication', 'javascript', 'css', 'git']"
2,Backend Developer,"Job brief
We are looking for an outstanding Web Developer to be responsible for the coding, innovative design and layout of our website. Web developer responsibilities include building our website from concept all the way to completion from the bottom up, fashioning everything from the home page to site layout and function. ** Should be an expert with Codeignitor""
Responsibilities
· Write well designed, testable, efficient code by using best software development practices
· Create website layout/user interface by using standard HTML/CSS practices
· Integrate data from various back-end services and databases
· Gather and refine specifications and requirements based on technical needs
· Create and maintain software documentation
· Be responsible for maintaining, expanding, and scaling our site
· Stay plugged into emerging technologies/industry trends and apply them into operations and activities
· Cooperate with web designers to match visual design intent
Requirements
· Proven working experience in web programming
· Top-notch programming skills and in-depth knowledge of modern HTML/CSS
· Familiarity with at least one of the following programming languages: PHP, ASP.NET, JavaScript or codeignitor
· A solid understanding of how web applications work including security, session management, and best development practices
· Adequate knowledge of relational database systems, Object Oriented Programming and web application development
· Hands-on experience with network diagnostics, network analytics tools
· Basic knowledge of Search Engine Optimization process
· Aggressive problem diagnosis and creative problem-solving skills
· Strong organizational skills to juggle multiple tasks within the constraints of timelines and budgets with business acumen
· Ability to work and thrive in a fast-paced environment, learn rapidly and master diverse web technologies and techniques.
· BS in computer science or a related field
·
Job Type: Full-time
Pay: ₹15,000.00 - ₹25,000.00 per month
Job Type: Full-time
Salary: ₹15,000.00 - ₹25,000.00 per month
Schedule:
Monday to Friday
Experience:
5 years: 1 year (Preferred)
Location:
Thane, Maharashtra (Preferred)
Language:
English, Marathi, Hindi (Preferred)
Application Question:
Required Skills: PHP, Python, CSS, HTML, Bootstrap, Wordpress and Codeigniter
Industry:
Marketing
Work Remotely:
Temporarily due to COVID-19",backend developer job brief we are looking for an outstanding web developer to be responsible for the coding innovative design and layout of our website. web developer responsibilities include building our website from concept all the way to completion from the bottom up fashioning everything from the home page to site layout and function. should be an expert with codeignitor responsibilities write well designed testable efficient code by using best software development practices create website layout/user interface by using standard html/css practices integrate data from various back end services and databases gather and refine specifications and requirements based on technical needs create and maintain software documentation be responsible for maintaining expanding and scaling our site stay plugged into emerging technologies/industry trends and apply them into operations and activities cooperate with web designers to match visual design intent requirements proven working experience in web programming top notch programming skills and in depth knowledge of modern html/css familiarity with at least one of the following programming languages php asp.net javascript or codeignitor a solid understanding of how web applications work including security session management and best development practices adequate knowledge of relational database systems object oriented programming and web application development hands on experience with network diagnostics network analytics tools basic knowledge of search engine optimization process aggressive problem diagnosis and creative problem solving skills strong organizational skills to juggle multiple tasks within the constraints of timelines and budgets with business acumen ability to work and thrive in a fast paced environment learn rapidly and master diverse web technologies and techniques. bs in computer science or a related field job type full time pay 15 000.00 25 000.00 per month job type full time salary 15 000.00 25 000.00 per month schedule monday to friday experience 5 years 1 year preferred location thane maharashtra preferred language english marathi hindi preferred application question required skills php python css html bootstrap wordpress and codeigniter industry marketing work remotely temporarily due to covid 19,backend,"['css', 'html', 'javascript', 'optimization', 'php', 'problem solving', 'python']",7,"['problem solving', 'optimization', 'javascript', 'python', 'html', 'css']"
3,iOS Developer,"Category: Programmer.
Eligibility: Fresher/experience in iOS development.
Skillset: Native iOS development using Swift/Objective-C.
Send us your CV or Resume to jobs@colorbracket.com",ios developer category programmer. eligibility fresher/experience in ios development. skillset native ios development using swift/objective c. send us your cv or resume to jobs colorbracket.com,ios,"['ios', 'swift']",2,"['swift', 'ios']"
4,Flutter Developer,"Job Summary
We are looking for a Full-time experienced Hybrid App Developer with Knowledge in java, kotline, swift, object C, angular. The candidate should be from South Kolkata and the candidate should come to the office, there is no work from home. Fresher do not apply for this job.
Candidates must have experience in Hybrid App development.
Candidates must have experience in Ionic Framework/ Flutter/ React native.
Responsibilities and Duties
Candidate must have good communication skills to understand the queries of the client.
Must be able to meet the deadlines of the project.
Able to work in a team and individually.
Attitude must be professional.
Please send the following details along with your CV
Contact No:
Present Employer:
CCTC:
ECTC:
Experience:
How Soon are you Available to join:
Regards,
Ananya Das
HR Executive
7908589586
Elphill Technology Pvt. Ltd.
5/10A, Netaji Nagar, Ground Floor.
Kolkata 700040
Job Type: Full-time
Schedule:
Day shift
Experience:
hybrid app developer: 1 year (Required)
Education:
Bachelor's (Required)
Work Remotely:
No",flutter developer job summary we are looking for a full time experienced hybrid app developer with knowledge in java kotline swift object c angular. the candidate should be from south kolkata and the candidate should come to the office there is no work from home. fresher do not apply for this job. candidates must have experience in hybrid app development. candidates must have experience in ionic framework/ flutter/ react native. responsibilities and duties candidate must have good communication skills to understand the queries of the client. must be able to meet the deadlines of the project. able to work in a team and individually. attitude must be professional. please send the following details along with your cv contact no present employer cctc ectc experience how soon are you available to join regards ananya das hr executive 7908589586 elphill technology pvt. ltd. 5/10a netaji nagar ground floor. kolkata 700040 job type full time schedule day shift experience hybrid app developer 1 year required education bachelor s required work remotely no,flutter,"['communication', 'flutter', 'java', 'react', 'react native', 'swift']",6,"['communication', 'react native', 'flutter', 'react', 'swift', 'java']"
5,Database Administrator,rmw architecture & interior innovative award-winning architecture interior design firm collaborative culture mission design engaging workplace great company currently experiencing exciting growth seek intermediate interior designer play pivotal role san jose studio essential function responsible design presentation drafting interior design project including schematic design task design development considering project ’ scope size complexity intermediate interior designer may work independently small-scale project within larger design team larger complex project responsibility coordinate assist development client ’ program coordinate program budget schedule timely appropriate design development develop design alternative meet client ’ programmatic requirement research complete material finish selection develop presentation material communicate design concept client assist client selection ff & e ; system freestanding furniture furniture dealer coordinate ff & e ; specification installation required assist construction administrator reviewing construction general conformance design concept assist preparing review evaluates cost estimate schematic design development phase meet client coordinate design decision assist maintaining rmw database ensure project meet general firm goal standard quality assurance well monitor liability exposure ability devise new multiple approach design problem ability make significant change project principal review education / certification / experience requirement ncidq certification preferred professional degree recognized equivalent general experience medium size project 25000 sq ft. budget one million dollar construction ff & e ; 5-7 year experience required position experience coordinating project resource including project consultant proficient knowledge different drafting software highly creative ability execute high level design problem solver strong sense design color material technically-minded strong follow-through attention detail required excellent organizational skill ability multi-task work within team structure highly effective interpersonal skill excellent oral written communication skill positive attitude strong aptitude learning awareness building code material cost drawing technique consideration please email resume work sample hr @ rmw.com referencing job title email subject phone call please rmw architecture & interior equal opportunity/affirmative action employer,database administrator rmw architecture interior innovative award winning architecture interior design firm collaborative culture mission design engaging workplace great company currently experiencing exciting growth seek intermediate interior designer play pivotal role san jose studio essential function responsible design presentation drafting interior design project including schematic design task design development considering project scope size complexity intermediate interior designer may work independently small scale project within larger design team larger complex project responsibility coordinate assist development client program coordinate program budget schedule timely appropriate design development develop design alternative meet client programmatic requirement research complete material finish selection develop presentation material communicate design concept client assist client selection ff e system freestanding furniture furniture dealer coordinate ff e specification installation required assist construction administrator reviewing construction general conformance design concept assist preparing review evaluates cost estimate schematic design development phase meet client coordinate design decision assist maintaining rmw database ensure project meet general firm goal standard quality assurance well monitor liability exposure ability devise new multiple approach design problem ability make significant change project principal review education / certification / experience requirement ncidq certification preferred professional degree recognized equivalent general experience medium size project 25000 sq ft. budget one million dollar construction ff e 5 7 year experience required position experience coordinating project resource including project consultant proficient knowledge different drafting software highly creative ability execute high level design problem solver strong sense design color material technically minded strong follow through attention detail required excellent organizational skill ability multi task work within team structure highly effective interpersonal skill excellent oral written communication skill positive attitude strong aptitude learning awareness building code material cost drawing technique consideration please email resume work sample hr rmw.com referencing job title email subject phone call please rmw architecture interior equal opportunity/affirmative action employer,database,['communication'],1,['communication']
6,Java Developer,"1.Should have strong analytical skills.
2. Hands-on technology
3. Technical Skills sets-Must to have experience on: CoreJava, Spring, Springboot, Spring MVC, Microservices, Hibernate, Design Patterns, MySQLNotice period: immediate joinees to 45 days.
Role: Software Engineer/Sr. Software Engineer
Experience: 4-9 Years
Job Responsibilities: * Contributing in all phases of the development lifecycle * Writing well designed, testable, cient code * Review, test and debug code * Understand and follow standards, guidelines, and best practices adopted in the project * Participating in Agile-Scrum development * Should have good communication skills * Maintaining timesheet on Tick on a daily basis
Technical Responsibilities:
 Hands-on experience in Core Java
 Developing API - Spring boot, Spring Cloud, Spring MVC
 Creating UNIT test cases - JUnit, Mockito Performing load testing
 Must be involved in the development of RESTful web service implementations
 Writing simple and complex PROC SQL queries in MySQL
 Experience in Angular will be a plus
 Applying Design patterns to solve problems Knowledge on Memory leakage issues and how to solve them.Version Control - Git
Job Types: Full-time, Walk-In
Pay: From ₹800,000.00 per year
Schedule:
Monday to Friday
Experience:
software development: 1 year (Preferred)
total work: 1 year (Preferred)
JSP: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Licence:
Java SE 7 Programmer (Preferred)",java developer 1.should have strong analytical skills. 2. hands on technology 3. technical skills sets must to have experience on corejava spring springboot spring mvc microservices hibernate design patterns mysqlnotice period immediate joinees to 45 days. role software engineer/sr. software engineer experience 4 9 years job responsibilities contributing in all phases of the development lifecycle writing well designed testable cient code review test and debug code understand and follow standards guidelines and best practices adopted in the project participating in agile scrum development should have good communication skills maintaining timesheet on tick on a daily basis technical responsibilities hands on experience in core java developing api spring boot spring cloud spring mvc creating unit test cases junit mockito performing load testing must be involved in the development of restful web service implementations writing simple and complex proc sql queries in mysql experience in angular will be a plus applying design patterns to solve problems knowledge on memory leakage issues and how to solve them.version control git job types full time walk in pay from 800 000.00 per year schedule monday to friday experience software development 1 year preferred total work 1 year preferred jsp 1 year preferred education bachelor s preferred licence java se 7 programmer preferred,java developer,"['agile', 'api', 'communication', 'design patterns', 'git', 'java', 'microservices', 'mysql', 'scrum', 'sql', 'testing']",11,"['design patterns', 'communication', 'microservices', 'testing', 'agile', 'mysql']"
7,Machine Learning,"About the role
In this role you will:
Be working on all aspects of a production machine learning system. You will be acquiring data, training and building models, deploying models, building API services for exposing these models, maintaining them in production, and more.
Work on performance tuning of models
From time to time work on support and debugging of these production systems
Work on researching the latest technology in the areas of our interest and applying it to build newer products and enhancement of the existing platform.
Building workflows for training and production systems
Contribute to documentation
While the emphasis will be on researching, building and deploying models into production, you will be expected to contribute to aspects mentioned above.
About you
You are a mid-career machine learning engineer (or data scientist). Our ideal candidate is someone with 6-20 years of experience in data science.
Must Haves
You should be experienced in framing and solving problems with the application of machine learning or deep learning models.
Knowledge of and experience in computer vision. A large part of our work revolves around computer vision, and you should have worked on this in a production environment.
You have experienced that and understand that modelling is only a small part of building and delivering AI solutions and know what it takes to keep a high-performance system up and running.
Our usage of libraries and tooling is oriented around Python, Tensorflow and Pytorch, so we would want you to have a good understanding of and experience in applying these.
We build our own services, hence we would expect you to have knowledge of writing APIs.
An enthusiasm and drive to learn and assimilate the state of the art research. A lot of what we are building will require innovative approaches using newly researched models and applications.
Good to Have
Our stack also includes languages like Ruby, Go and Elixir. We would love it if you know any of these or take interest in functional programming.
Knowledge of and experience in ML Ops and tooling would be a welcome addition. We use Docker and Kubernetes for deploying our services.
Experience in using any other platform, frameworks, tools.
Other things to keep in mind
If you are interested, you also have the opportunity to mentor interns and junior team members from time to time. If you have not done this before, we will help you through coaching.
This is an opportunity to positively impact billions of people, and we hope you like it as much as we do.
Job Type: Full-time
Salary: ₹1,500,000.00 - ₹3,000,000.00 per year
Schedule:
Monday to Friday
Morning shift
Experience:
Machine Learning: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)",machine learning about the role in this role you will be working on all aspects of a production machine learning system. you will be acquiring data training and building models deploying models building api services for exposing these models maintaining them in production and more. work on performance tuning of models from time to time work on support and debugging of these production systems work on researching the latest technology in the areas of our interest and applying it to build newer products and enhancement of the existing platform. building workflows for training and production systems contribute to documentation while the emphasis will be on researching building and deploying models into production you will be expected to contribute to aspects mentioned above. about you you are a mid career machine learning engineer or data scientist . our ideal candidate is someone with 6 20 years of experience in data science. must haves you should be experienced in framing and solving problems with the application of machine learning or deep learning models. knowledge of and experience in computer vision. a large part of our work revolves around computer vision and you should have worked on this in a production environment. you have experienced that and understand that modelling is only a small part of building and delivering ai solutions and know what it takes to keep a high performance system up and running. our usage of libraries and tooling is oriented around python tensorflow and pytorch so we would want you to have a good understanding of and experience in applying these. we build our own services hence we would expect you to have knowledge of writing apis. an enthusiasm and drive to learn and assimilate the state of the art research. a lot of what we are building will require innovative approaches using newly researched models and applications. good to have our stack also includes languages like ruby go and elixir. we would love it if you know any of these or take interest in functional programming. knowledge of and experience in ml ops and tooling would be a welcome addition. we use docker and kubernetes for deploying our services. experience in using any other platform frameworks tools. other things to keep in mind if you are interested you also have the opportunity to mentor interns and junior team members from time to time. if you have not done this before we will help you through coaching. this is an opportunity to positively impact billions of people and we hope you like it as much as we do. job type full time salary 1 500 000.00 3 000 000.00 per year schedule monday to friday morning shift experience machine learning 1 year preferred work 1 year preferred total work 1 year preferred education secondary 10th pass preferred,machine,"['api', 'computer vision', 'data science', 'deep learning', 'docker', 'go', 'kubernetes', 'machine learning', 'python', 'pytorch', 'tensorflow']",11,"['machine learning', 'computer vision', 'deep learning', 'data science', 'kubernetes', 'tensorflow']"
8,Wordpress Developer,"Job Description
*WordPress Developer job description\**
We are looking for an experienced and passionate WordPress Developer to join our IT team! As a WordPress Developer at our company, you will be responsible for both back-end and front-end development, including creating WordPress themes and plugins.We are expecting you to have a strong understanding of latest industry trends and content management systems.
WordPress Developer Responsibilities: *
Designing and building the website front-end.
Creating the website architecture.
Designing and managing the website back-end including database and server integration.
Hand on experience in Wordpress (Developing custom themes, plugins and admin)
Generating WordPress themes and plugins.
Conducting website performance tests.
Theme Creation/Modification
Plugin Creation/Modification
Woocommerce Implementation / Modifications
Working with Different Forms
Working with different Page Builders
Monitoring the performance of the live website.
*WordPress Developer Requirements: *
Bachelors degree in Computer Science or a similar field.
Proven work experience as a WordPress Developer.
Knowledge of front-end technologies including CSS3, JavaScript, HTML5, and jQuery.
Hand on experience in Wordpress (Developing custom themes, plugins and admin)
Ability to project manage.
Good communication skills.
NOTE: Minimum 2 years exp. in Wordpress Development.\*
Job Type: Full-time

Salary: ₹12,173.00 - ₹34,958.00 per month

Schedule:
Morning shift
Industry:
IT Operations & Helpdesk
Work Remotely:
No",wordpress developer job description wordpress developer job description we are looking for an experienced and passionate wordpress developer to join our it team as a wordpress developer at our company you will be responsible for both back end and front end development including creating wordpress themes and plugins.we are expecting you to have a strong understanding of latest industry trends and content management systems. wordpress developer responsibilities designing and building the website front end. creating the website architecture. designing and managing the website back end including database and server integration. hand on experience in wordpress developing custom themes plugins and admin generating wordpress themes and plugins. conducting website performance tests. theme creation/modification plugin creation/modification woocommerce implementation / modifications working with different forms working with different page builders monitoring the performance of the live website. wordpress developer requirements bachelors degree in computer science or a similar field. proven work experience as a wordpress developer. knowledge of front end technologies including css3 javascript html5 and jquery. hand on experience in wordpress developing custom themes plugins and admin ability to project manage. good communication skills. note minimum 2 years exp. in wordpress development. job type full time salary 12 173.00 34 958.00 per month schedule morning shift industry it operations helpdesk work remotely no,wordpress,"['communication', 'javascript']",2,"['communication', 'javascript']"
9,Django Developer,"Job Responsibilities:
6+ years of Hands-on experience in Python programming along with strong experience in SQL.
Experience in designing distributed systems using Python.
Experience in being a mentor for a team comprising of both experienced as well as fresh graduates who are python developers.
Experience with Python, along with other common libraries/frameworks such as Flask, Celery, Django, etc.
Basic understanding of developing private PIP packages.
Solid understanding of object-oriented programming.
Familiarity with concepts of MVC, Mocking, ORM, and REST APIs.
Experience in writing Unit Tests using frameworks like PyTest.
A knack for writing clean, readable Python code.
Ability to integrate multiple data sources and databases into one system.
Ability to understand monitoring metrics, such as CPU, Memory, Disk Space, Network latency, and telemetry services.
Understanding of fundamental design principles behind a scalable application.
Understanding the fundamental of RDBMS databases.
Proficient understanding of Git.
Should have experience in leading DevOps practices for a large program.
Effective verbal and written communication skills.
Should have experience with distributed task(multiprocessing) frameworks.
Should have experience with Version control tools like GIT.
Ability to translate complex data sets and research into simple business recommendations.
Ability to work with PostgreSQL is a plus.
Exposure to public cloud platforms like Azure / AWS would be an added advantage.
Exposure to Serverless computing would be an added advantage.
Experience with implementing TDD would be advantageous.
Added Advantage working on Geo-Spatial Data.
Added Advantage with knowledge of IOT systems.
Exposure to Data Science concepts (Machine Learning and Deep learning) would be an added advantage.",django developer job responsibilities 6+ years of hands on experience in python programming along with strong experience in sql. experience in designing distributed systems using python. experience in being a mentor for a team comprising of both experienced as well as fresh graduates who are python developers. experience with python along with other common libraries/frameworks such as flask celery django etc. basic understanding of developing private pip packages. solid understanding of object oriented programming. familiarity with concepts of mvc mocking orm and rest apis. experience in writing unit tests using frameworks like pytest. a knack for writing clean readable python code. ability to integrate multiple data sources and databases into one system. ability to understand monitoring metrics such as cpu memory disk space network latency and telemetry services. understanding of fundamental design principles behind a scalable application. understanding the fundamental of rdbms databases. proficient understanding of git. should have experience in leading devops practices for a large program. effective verbal and written communication skills. should have experience with distributed task multiprocessing frameworks. should have experience with version control tools like git. ability to translate complex data sets and research into simple business recommendations. ability to work with postgresql is a plus. exposure to public cloud platforms like azure / aws would be an added advantage. exposure to serverless computing would be an added advantage. experience with implementing tdd would be advantageous. added advantage working on geo spatial data. added advantage with knowledge of iot systems. exposure to data science concepts machine learning and deep learning would be an added advantage.,django,"['aws', 'azure', 'communication', 'data science', 'deep learning', 'devops', 'django', 'flask', 'git', 'machine learning', 'postgresql', 'python', 'sql']",13,"['machine learning', 'communication', 'deep learning', 'data science', 'postgresql', 'devops']"
10,Django Developer,"understand the project requirement
document the requirement using UML tools like use case, activity, process, class diagram, ERD and Wireframes
Design the backend database
Develop APIs using DRF
Develop the application using Django framework
work remotely from home, solo as well as with a team
This opening is only for candidates who have lost their jobs or are in the process of layoff.* Please *DO NOT* apply if you are safely employed.
Candidates would have to work from home for at least one year and would have the option to continue work from home even after that, if office spaces are opened for the team in due course.

Job Types: Full-time, Volunteer

Salary: ₹100,000.00 - ₹300,000.00 per year

Schedule:
Flexible shift
Experience:
Software Engineering: 3 years (Preferred)
Django: 2 years (Preferred)
Education:
Higher Secondary(12th Pass) (Preferred)
Benefits:
Work from home
Industry:
Software Development
Work Remotely:
Yes",django developer understand the project requirement document the requirement using uml tools like use case activity process class diagram erd and wireframes design the backend database develop apis using drf develop the application using django framework work remotely from home solo as well as with a team this opening is only for candidates who have lost their jobs or are in the process of layoff. please do not apply if you are safely employed. candidates would have to work from home for at least one year and would have the option to continue work from home even after that if office spaces are opened for the team in due course. job types full time volunteer salary 100 000.00 300 000.00 per year schedule flexible shift experience software engineering 3 years preferred django 2 years preferred education higher secondary 12th pass preferred benefits work from home industry software development work remotely yes,django,['django'],1,['django']
